338;Y;C;25K;CONT  ;2016-01-01;9999-12-31;N;46.87;TABLE02                                            
338;Y;C;25K;CNAD  ;2016-01-01;9999-12-31;N;46.87;TABLE02                                            
338;Y;C;25K;PEBE  ;2016-01-01;9999-12-31;N;51.78;TABLE02                                            
338;Y;C;25K;BELO  ;2016-01-01;9999-12-31;N;51.78;TABLE02                                            
338;Y;C;25K;VALU  ;2016-01-01;9999-12-31;N;51.78;TABLE02                                            
338;Y;C;25K;SPVL  ;2016-01-01;9999-12-31;N;51.78;TABLE02                                            
338;Y;C;25K;PECY  ;2016-01-01;9999-12-31;N;51.78;TABLE02                                            
338;Y;C;UL ;CONT  ;2016-01-01;9999-12-31;N;51.78;TABLE02                                            
338;Y;C;UL ;CNAD  ;2016-01-01;9999-12-31;N;51.78;TABLE02                                            
338;Y;C;UL ;PEBE  ;2016-01-01;9999-12-31;N;51.78;TABLE02                                            
338;Y;C;UL ;BELO  ;2016-01-01;9999-12-31;N;51.78;TABLE02                                            
338;Y;C;UL ;VALU  ;2016-01-01;9999-12-31;N;51.78;TABLE02                                            
338;Y;C;UL ;SPVL  ;2016-01-01;9999-12-31;N;51.78;TABLE02                                            
338;Y;C;UL ;PECY  ;2016-01-01;9999-12-31;N;51.78;TABLE02                                            
338;Y;A;25K;BULD  ;2016-01-01;9999-12-31;N;42.83;TABLE02                                            
338;Y;A;25K;BDAD  ;2016-01-01;9999-12-31;N;42.83;TABLE02                                            
338;Y;A;25K;CONT  ;2016-01-01;9999-12-31;N;36.96;TABLE02                                            
338;Y;A;25K;CNAD  ;2016-01-01;9999-12-31;N;36.96;TABLE02                                            
338;Y;A;25K;PEBE  ;2016-01-01;9999-12-31;N;42.83;TABLE02                                            
338;Y;A;25K;BELO  ;2016-01-01;9999-12-31;N;42.83;TABLE02                                            
338;Y;A;25K;VALU  ;2016-01-01;9999-12-31;N;42.83;TABLE02                                            
338;Y;A;25K;SPVL  ;2016-01-01;9999-12-31;N;42.83;TABLE02                                            
338;Y;A;25K;PECY  ;2016-01-01;9999-12-31;N;42.83;TABLE02                                            
338;Y;A;UL ;BULD  ;2016-01-01;9999-12-31;N;42.83;TABLE02                                            
338;Y;A;UL ;BDAD  ;2016-01-01;9999-12-31;N;42.83;TABLE02                                            
338;Y;A;UL ;CONT  ;2016-01-01;9999-12-31;N;42.83;TABLE02                                            
338;Y;A;UL ;CNAD  ;2016-01-01;9999-12-31;N;42.83;TABLE02                                            
338;Y;A;UL ;PEBE  ;2016-01-01;9999-12-31;N;42.83;TABLE02                                            
338;Y;A;UL ;BELO  ;2016-01-01;9999-12-31;N;42.83;TABLE02                                            
338;Y;A;UL ;VALU  ;2016-01-01;9999-12-31;N;42.83;TABLE02                                            
338;Y;A;UL ;SPVL  ;2016-01-01;9999-12-31;N;42.83;TABLE02                                            
338;Y;A;UL ;PECY  ;2016-01-01;9999-12-31;N;42.83;TABLE02                                            
338;N;B;UL ;BDAD  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;B;UL ;BULD  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;C;25K;CONT  ;2016-02-01;9999-12-31;N;30.99;TABLE02                                            
338;N;C;25K;CNAD  ;2016-02-01;9999-12-31;N;30.99;TABLE02                                            
338;N;C;25K;PEBE  ;2016-02-01;9999-12-31;N;30.99;TABLE02                                            
338;N;C;25K;BELO  ;2016-02-01;9999-12-31;N;30.99;TABLE02                                            
338;N;C;25K;VALU  ;2016-02-01;9999-12-31;N;30.99;TABLE02                                            
338;N;C;25K;SPVL  ;2016-02-01;9999-12-31;N;30.99;TABLE02                                            
338;N;C;25K;PECY  ;2016-02-01;9999-12-31;N;30.99;TABLE02                                            
338;N;C;UL ;CNAD  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;C;UL ;CONT  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;C;UL ;PEBE  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;C;UL ;BELO  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;C;UL ;VALU  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;C;UL ;SPVL  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;C;UL ;PECY  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;A;25K;BULD  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;A;25K;BDAD  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;A;25K;CONT  ;2016-02-01;9999-12-31;N;30.99;TABLE02                                            
338;N;A;25K;CNAD  ;2016-02-01;9999-12-31;N;30.99;TABLE02                                            
338;N;A;25K;PEBE  ;2016-02-01;9999-12-31;N;30.99;TABLE02                                            
338;N;A;25K;BELO  ;2016-02-01;9999-12-31;N;30.99;TABLE02                                            
338;N;A;25K;VALU  ;2016-02-01;9999-12-31;N;30.99;TABLE02                                            
338;N;A;25K;SPVL  ;2016-02-01;9999-12-31;N;30.99;TABLE02                                            
338;N;A;25K;PECY  ;2016-02-01;9999-12-31;N;30.99;TABLE02                                            
338;N;A;UL ;BULD  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;A;UL ;BDAD  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;A;UL ;CONT  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;A;UL ;CNAD  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;A;UL ;PEBE  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;A;UL ;BELO  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;A;UL ;VALU  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;A;UL ;SPVL  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
338;N;A;UL ;PECY  ;2016-02-01;9999-12-31;N;37.54;TABLE02                                            
339;N;B;UL ;BULD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
339;N;B;UL ;BDAD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
339;N;C;UL ;CNAD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
339;N;C;UL ;CONT  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
339;N;C;UL ;PEBE  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
339;N;C;UL ;BELO  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
339;N;C;UL ;VALU  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
339;N;C;UL ;SPVL  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
339;N;C;UL ;PECY  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
339;N;A;UL ;BULD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
339;N;A;UL ;BDAD  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
339;N;A;UL ;CONT  ;2016-01-01;9999-12-31;N;45.24;TABLE02                                            
